variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit
famhistory,Family History,750,0.26,0.14,0.032,0.12133333333333335,0,-0.01063063063063064
famhistory,Family History,750,0.27,0.14,0.032,0.12133333333333335,0,-0.01287671232876713
famhistory,Family History,750,0.28,0.14,0.032,0.12133333333333335,0,-0.015185185185185197
famhistory,Family History,750,0.29,0.14,0.032,0.12133333333333335,0,-0.017558685446009394
famhistory,Family History,750,0.3,0.14,0.032,0.12133333333333335,0,-0.02000000000000001
famhistory,Family History,750,0.31,0.14,0.032,0.12133333333333335,0,-0.022512077294686003
famhistory,Family History,750,0.32,0.14,0.032,0.12133333333333335,0,-0.025098039215686284
famhistory,Family History,750,0.33,0.14,0.032,0.12133333333333335,0,-0.027761194029850764
famhistory,Family History,750,0.34,0.14,0.032,0.12133333333333335,0,-0.03050505050505052
famhistory,Family History,750,0.35000000000000003,0.14,0.032,0.12133333333333335,0,-0.033333333333333354
famhistory,Family History,750,0.36,0.14,0.032,0.12133333333333335,0,-0.036250000000000004
famhistory,Family History,750,0.37,0.14,0.032,0.12133333333333335,0,-0.03925925925925927
famhistory,Family History,750,0.38,0.14,0.032,0.12133333333333335,0,-0.04236559139784947
famhistory,Family History,750,0.39,0.14,0.032,0.12133333333333335,0,-0.04557377049180329
famhistory,Family History,750,0.4,0.14,0.032,0.12133333333333335,0,-0.04888888888888891
famhistory,Family History,750,0.41000000000000003,0.14,0.032,0.12133333333333335,0,-0.05231638418079097
famhistory,Family History,750,0.42,0.14,0.032,0.12133333333333335,0,-0.055862068965517236
famhistory,Family History,750,0.43,0.14,0.032,0.12133333333333335,0,-0.05953216374269006
famhistory,Family History,750,0.44,0.14,0.032,0.12133333333333335,0,-0.06333333333333334
famhistory,Family History,750,0.45,0.14,0.032,0.12133333333333335,0,-0.06727272727272728
famhistory,Family History,750,0.46,0.14,0.032,0.12133333333333335,0,-0.07135802469135803
famhistory,Family History,750,0.47000000000000003,0.14,0.032,0.12133333333333335,0,-0.07559748427672958
famhistory,Family History,750,0.48,0.14,0.032,0.12133333333333335,0,-0.08
famhistory,Family History,750,0.49,0.14,0.032,0.12133333333333335,0,-0.08457516339869281
famhistory,Family History,750,0.5,0.14,0.032,0.12133333333333335,0,-0.08933333333333335
famhistory,Family History,750,0.51,0.14,0.032,0.12133333333333335,0,-0.0942857142857143
famhistory,Family History,750,0.52,0.14,0.032,0.12133333333333335,0,-0.09944444444444447
famhistory,Family History,750,0.53,0.14,0.032,0.12133333333333335,0,-0.10482269503546104
famhistory,Family History,750,0.54,0.14,0.032,0.12133333333333335,0,-0.11043478260869569
famhistory,Family History,750,0.55,0.14,0.032,0.12133333333333335,0,-0.11629629629629634
famhistory,Family History,750,0.56,0.14,0.032,0.12133333333333335,0,-0.12242424242424246
famhistory,Family History,750,0.5700000000000001,0.14,0.032,0.12133333333333335,0,-0.12883720930232564
famhistory,Family History,750,0.58,0.14,0.032,0.12133333333333335,0,-0.13555555555555554
famhistory,Family History,750,0.59,0.14,0.032,0.12133333333333335,0,-0.14260162601626014
famhistory,Family History,750,0.6,0.14,0.032,0.12133333333333335,0,-0.15
famhistory,Family History,750,0.61,0.14,0.032,0.12133333333333335,0,-0.1577777777777778
famhistory,Family History,750,0.62,0.14,0.032,0.12133333333333335,0,-0.1659649122807018
famhistory,Family History,750,0.63,0.14,0.032,0.12133333333333335,0,-0.17459459459459462
famhistory,Family History,750,0.64,0.14,0.032,0.12133333333333335,0,-0.18370370370370376
famhistory,Family History,750,0.65,0.14,0.032,0.12133333333333335,0,-0.19333333333333338
famhistory,Family History,750,0.66,0.14,0.032,0.12133333333333335,0,-0.20352941176470593
famhistory,Family History,750,0.67,0.14,0.032,0.12133333333333335,0,-0.21434343434343442
famhistory,Family History,750,0.68,0.14,0.032,0.12133333333333335,0,-0.2258333333333334
famhistory,Family History,750,0.6900000000000001,0.14,0.032,0.12133333333333335,0,-0.23806451612903237
famhistory,Family History,750,0.7000000000000001,0.14,0.032,0.12133333333333335,0,-0.2511111111111112
famhistory,Family History,750,0.71,0.14,0.032,0.12133333333333335,0,-0.26505747126436785
famhistory,Family History,750,0.72,0.14,0.032,0.12133333333333335,0,-0.28
famhistory,Family History,750,0.73,0.14,0.032,0.12133333333333335,0,-0.2960493827160494
famhistory,Family History,750,0.74,0.14,0.032,0.12133333333333335,0,-0.31333333333333335
famhistory,Family History,750,0.75,0.14,0.032,0.12133333333333335,0,-0.3320000000000001
famhistory,Family History,750,0.76,0.14,0.032,0.12133333333333335,0,-0.3522222222222223
famhistory,Family History,750,0.77,0.14,0.032,0.12133333333333335,0,-0.37420289855072475
famhistory,Family History,750,0.78,0.14,0.032,0.12133333333333335,0,-0.3981818181818183
famhistory,Family History,750,0.79,0.14,0.032,0.12133333333333335,0,-0.4244444444444446
